file_name,base_table_id,merged_table_id,ml,cr_used,action,status
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_2,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_3,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_4,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_5,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_6,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_7,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_8,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_9,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_10,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_11,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_12,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_13,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_14,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_15,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_16,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_17,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_18,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_19,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_20,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_21,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_22,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_23,1,1,merge_first_row_only_drop_intervening_text,merged
