doc_type,source_id,file_name,path_text,page_start,page_end,text_preview,embedding_preview
table_chunk,2.6.r1.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,2.6,1,2,---,"[-0.007939480245113373, 0.02320471964776516, -0.03805534169077873, -0.0014577090041711926, -0.055881939828395844, -0.03312092646956444, 0.050905246287584305, 0.045821916311979294]"
table_chunk,2.6.r2.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,2.6,1,2,驗證資訊進行確認。惟本自律規範定義之電子式交易驗證僅適用透,"[-0.034197598695755005, -0.009627941064536572, -0.03266119211912155, -0.0016927808756008744, -0.03008560836315155, -0.019619431346654892, 0.009135075844824314, 0.03568987548351288]"
table_chunk,2.6.r3.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,2.6,1,2,過網際網路交易之系統，不包含電話語音、電子式專屬線路下單,"[-0.036076195538043976, -0.011377604678273201, -0.049391962587833405, 0.011223169974982738, -0.019491028040647507, 0.007068628445267677, 0.0012989429524168372, -0.008315791375935078]"
table_chunk,2.6.r4.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,2.6,1,2,(Direct Market Access，簡稱 DMA)、主機共置(Co–Location)等服務,"[-0.005090670194476843, -0.01421103160828352, -0.03324196860194206, -0.00760528864338994, -0.025981901213526726, 0.0006367155583575368, 0.029411444440484047, 0.002917572623118758]"
table_chunk,2.6.r5.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,2.6,1,2,型態。,"[-0.00790631677955389, 0.015289505012333393, -0.021843239665031433, -0.016934406012296677, -0.022118091583251953, 0.0008554533706046641, 0.035729825496673584, 0.008077622391283512]"
table_chunk,12.r1.c5.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,L1,"[-0.029420800507068634, 0.09131725132465363, -0.0112484535202384, -0.02562924660742283, 0.014575762674212456, -0.0015009136404842138, -0.04761875793337822, 0.009966040961444378]"
table_chunk,12.r1.c6.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,L2,"[-0.053603120148181915, 0.07053796947002411, 0.011096670292317867, 0.021245678886771202, -0.02259361557662487, 0.010844452306628227, -0.05232293903827667, 0.01019908208400011]"
table_chunk,12.r1.c7.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,L3,"[-0.03130466118454933, 0.05904623121023178, -0.00686697056517005, -0.02000451274216175, -0.009390896186232567, 0.010883361101150513, -0.018234677612781525, -0.0032607303000986576]"
table_chunk,12.r1.c8.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,F,"[0.005913231056183577, 0.025659894570708275, -0.02870623767375946, 0.008864750154316425, 0.02853057160973549, -0.02681761607527733, -0.021522441878914833, 0.056892357766628265]"
table_chunk,12.r2.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,4.1.3.交易資 源控管安全,"[-0.019390769302845, -0.005762335378676653, -0.061640847474336624, 0.005827834829688072, -0.04179931804537773, 0.0029177782125771046, -0.03211265429854393, 0.01818343624472618]"
table_chunk,12.r2.c2.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,26,"[-0.05033455789089203, 0.03125324845314026, -0.009510166943073273, -0.0089573934674263, -0.037701185792684555, -0.05875418335199356, -0.011529684998095036, 0.0005926869343966246]"
table_chunk,12.r2.c3.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,4.1.3.1. 交易資 源使用,"[-0.016201462596654892, -0.0210567619651556, -0.04951844736933708, 0.049463655799627304, -0.026784121990203857, 0.012426239438354969, 0.004610770381987095, 0.0055407509207725525]"
table_chunk,12.r2.c4.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,4.1.3.1.2.行動應用 程式應提供使用者 拒絕使用交易資源 之權利。,"[0.0012554744025692344, -0.01556511502712965, -0.03341352567076683, 0.007314770948141813, -0.02610331028699875, -0.05957120656967163, -6.132286944193766e-05, -0.0052633387967944145]"
table_chunk,12.r2.c5.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,─,"[-0.018711160868406296, 0.01761593483388424, -0.0587986595928669, -0.017731841653585434, -0.03672804683446884, -0.030589008703827858, 0.052651453763246536, 0.05901534482836723]"
table_chunk,12.r2.c6.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,─,"[-0.018711160868406296, 0.01761593483388424, -0.0587986595928669, -0.017731841653585434, -0.03672804683446884, -0.030589008703827858, 0.052651453763246536, 0.05901534482836723]"
table_chunk,12.r2.c7.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,★,"[-0.025695757940411568, -0.029724370688199997, -0.05107816308736801, -0.019351592287421227, 0.016039278358221054, -0.03575633838772774, 0.03594454750418663, 0.048743072897195816]"
table_chunk,12.r2.c8.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,─,"[-0.018711160868406296, 0.01761593483388424, -0.0587986595928669, -0.017731841653585434, -0.03672804683446884, -0.030589008703827858, 0.052651453763246536, 0.05901534482836723]"
table_chunk,12.r3.c1.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,4.1.3.交易資 源控管安全,"[-0.019390769302845, -0.005762335378676653, -0.061640847474336624, 0.005827834829688072, -0.04179931804537773, 0.0029177782125771046, -0.03211265429854393, 0.01818343624472618]"
table_chunk,12.r3.c2.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,27,"[-0.052281055599451065, 0.047009024769067764, -0.012760038487613201, -0.001304938574321568, -0.03944983705878258, -0.05619911849498749, -0.0021052455995231867, 0.024359432980418205]"
table_chunk,12.r3.c3.k1,1110921新興科技資通安全自律規範及修正對照表.md,12,5,22,4.1.3.2. 交易資 源控管,"[-0.039438728243112564, -0.01605921797454357, -0.04622521996498108, 0.021009523421525955, -0.028030814602971077, 0.006003608461469412, -0.0400160551071167, 0.032737817615270615]"
